Seed, Checksum, Floor 6 Code
4407656, 0F36A0CA, 896
13853420, D61B182F, 656
58922728, 871998D9, 858
59185050, E9EE2E90, 456
64113072, 3781CE03, 858
68399008, 1211EC41, 694
71156136, A08E3A30, 674
73050987, 1FA4D734, 765
74043254, B3B4AE9A, 854
74716985, 1837160D, 567
75575369, EB2E926A, 567
80299531, 8572E838, 589
82772986, F6239555, 858
83644264, AC51FDD7, 654
87029098, 7CA167EF, 876
91161413, 498DA125, 567
113434124, 228379A5, 474
118003462, 43ECAB5A, 874
118679362, D8CC0528, 876
123033836, 08323938, 898
126733918, 1424B212, 454
131541791, CBDDD713, 545
131763878, E3CD738B, 496
131902152, A4A957A9, 454
139963837, 4E41EE0D, 987
154136054, DAF1357B, 454
160925926, 1A5FBCC5, 456
163235403, E46A56A4, 785
177695787, 35545784, 987
221169740, 798BA77F, 656
224651660, DE7F784D, 874
237699276, D04EF3AA, 674
240866988, D62017B0, 478
245398808, E931BBED, 674
249698347, F340C1BE, 547
257660206, 9C150F75, 856
264812054, B9F0583E, 458
268586278, ABD5F9BD, 894
293513370, 43C95189, 856
305400326, 0CCDC0D7, 878
307151354, CD1510BD, 476
316219276, 3F2E7BEA, 476
320567173, 153231A2, 985
328450906, C71A4942, 658
339209010, DF367836, 474
366471180, 38D1A4A5, 694
370369136, BC02573C, 454
373406155, AF99C0A7, 747
393821050, 6884A4C8, 694
418450636, B4053595, 894
427660890, 15B887CE, 678
463145442, A66BC821, 658
470735354, F9609B0A, 896
479995382, 4B39D779, 898
492141142, A35078FA, 696
494944360, 057789C9, 876
500483866, 4A1E8D68, 676
508345734, 2597672B, 458
514559852, E32B1D31, 456
514682696, 808790C3, 896
528830864, C6542C10, 874
533762342, DF8DAD37, 696
543229126, 7241732B, 654
545828236, 5AC95B5F, 494
559341378, C97F9DFB, 694
583031180, 53E488AC, 656
585989606, 8B7EA4CC, 478
597040774, F7157043, 456
599762666, A10A353C, 874
609324598, 96CF452B, 474
613231578, 2C96AC44, 898
619405630, 60C1DFC9, 878
621144806, 88A6697A, 678
622974722, 42665EE2, 454
629521900, AEFFD48D, 898
649576162, 35122FF0, 894
658206074, 44A76B01, 894
671947500, 96E470EA, 674
678487925, 3EDCB8B4, 769
684219302, D2499371, 874
696715830, 8609F1EB, 674
706172267, 5A817B3F, 747
720730984, E16E8D22, 876
753059482, B266B112, 896
758592584, C819EB4D, 674
790816808, FD60FCC0, 894
792328682, 8AAAEA46, 496
800256890, E92F83BB, 674
809208826, 639EB466, 474
811490614, 4A93B93D, 658
813005900, 8454936A, 854
826690024, 4BAD8851, 894
831330252, 7AD3D605, 654
833185238, 8AE2E4E0, 474
842922105, FB06224A, 949
892401960, 203A94A4, 856
900269114, 7CF41ECA, 658
903466480, BA55A49F, 458
907313612, 1D6841EA, 654
912373917, CCEA4898, 989
914728488, E6FC1C22, 656
915504646, 4DD26CC4, 654
920537562, C1EDDA43, 476
930124438, BA99C7E3, 474
940037658, 812D8B8B, 678
942192390, A05C9E40, 876
951019211, 88FC2A3C, 787
957503232, 1DDBFD1D, 656
968445544, 66AEA13E, 496
980358946, 4BE7C2F1, 896
993437964, 3AD5D8C1, 474
995696076, 659B3277, 476
999949046, B5623600, 896
1014813256, 1F042318, 694
1015042544, 0000176C, 656
1023713644, 62F2564E, 856
1037219358, B114EC7A, 678
1049991862, 35DDA729, 694
1069126182, 2BB2B2C8, 656
1073790568, 100A617A, 896
1089283358, CA05325B, 458
1092389142, 5AF609BC, 494
1112182886, 4865C11F, 656
1119791002, 9E4E734A, 874
1130212972, 0DDDC1B9, 474
1152178320, 0056A5FC, 496
1158395898, 851F597F, 478
1164578554, 9F682DEC, 474
1167701338, E8810539, 674
1176501896, 168AAD7C, 854
1176642009, 763D3DB1, 547
1194294283, C2CFD5DF, 589
1196358380, E4631B4D, 896
1199748730, B0C93841, 698
1215425334, EA10FB92, 856
1228582156, CC254B03, 696
1229249836, 81F7156F, 654
1231979538, 7FFB83AF, 498
1244351670, C230870E, 674
1255097484, 58D04EEA, 894
1258285612, 104AFB7C, 674
1261920304, B0DCACB4, 654
1280971910, E3A3D14F, 694
1282137386, 6F1DE225, 856
1283724278, 29AB191D, 896
1284494506, 6AA8690A, 694
1297706248, 828968E3, 654
1299640137, 727D05E9, 969
1299972725, 593461CA, 587
1314797350, D2658619, 474
1317480680, 111D3A0D, 654
1320627238, 3173F587, 496
1320990785, CC7486AC, 945
1324350540, F2F0B8D2, 694
1328897384, E00B3615, 456
1336600780, 7B647AAE, 694
1343470911, 1EB42304, 949
1359844250, E76A9BF4, 696
1364969128, 2C008D94, 696
1366026251, 918F7B97, 745
1366043994, C3CBF18B, 674
1368549690, F00964BD, 698
1372194252, 163B35AF, 656
1372908492, 61773FC1, 656
1375298156, 15E2DAD2, 878
1391158810, CE539277, 658
1416272652, 8FEC1214, 496
1416484689, 84E82AC0, 569
1427684396, 83936731, 698
1431045552, 358D59ED, 656
1453771660, 4D962FA6, 676
1480536822, 2D69F027, 696
1482372972, D93671FA, 478
1482410992, B0A32339, 694
1484407398, 9215099D, 894
1512479628, F2772FF1, 856
1516836602, 72566D16, 894
1545492830, 9BFBBBB5, 454
1558961932, 2FA6AA96, 854
1582873992, 7CC39AB7, 656
1600138214, 42F8F864, 854
1602376218, 4D917649, 478
1606589914, 898AA85E, 456
1619331052, 2EBB37E9, 878
1635767258, D2CE6332, 696
1639390443, 9A9DAD95, 567
1640027724, B691BC7F, 494
1640662988, 6B806DD0, 898
1643070188, 84FED662, 498
1657675784, AFC78955, 878
1660236464, 543952EB, 878
1669127080, 587947BF, 876
1691375848, C9646E8C, 478
1707656802, 6738345A, 658
1714483560, DAE7D37F, 896
1754014927, C84383A1, 569
1761379776, 35A315C9, 456
1766266280, 57919D63, 694
1776329730, 0DB48AA6, 654
1782917482, 53DBC7AB, 858
1789339446, ED2134F9, 454
1814524410, 8D90F356, 898
1815009601, C178394A, 565
1821058856, 4568EB86, 478
1844530870, 78D7BDBD, 478
1898598764, A40F6689, 456
1925964556, C55F0F4D, 856
1987802288, AD1B705B, 694
1992689928, E2197473, 676
2006274206, 49A43A54, 898
2013297264, 90690465, 456
2014879400, E0F0ED54, 474
2016395574, 24AD83D7, 454
2055000310, AA9765F7, 654
2088876456, 1F4FC601, 676
2090022128, 2AE2EF2A, 498
2099471851, 6E4AF67C, 747
2111375701, 6272F63E, 749
2125030902, 8656825E, 858
2129494562, 3528EADA, 898
2134981946, 36AC6AC6, 478
2140037162, 037D0657, 874
