Seed, Checksum, Floor 6 Code
4705990, 01786E98, 456
20646763, D173D7E3, 587
21579776, 7B60446E, 854
32632976, 889C3288, 858
43571562, 365560A5, 896
45873081, F1090B15, 785
47564338, CBD00690, 854
67587153, BEBDD14D, 589
68428726, 1AD79E49, 474
78153090, FCAF9549, 656
110474835, C2D56AF1, 787
114968087, E4C912E7, 969
118592339, C2F8E5CE, 789
122182382, 0EF54133, 894
146502600, F4285A24, 458
151823624, A16351CF, 678
161681863, 6F5096E0, 745
164631312, 0585DA05, 496
174092261, 89B41906, 747
174505657, F8CCA572, 587
174890010, 68072361, 856
175693321, D10A8768, 589
177185628, 145AC2B6, 896
183506668, F602A13E, 474
188076906, A58F032B, 678
190448016, 0EF39CC9, 456
193869308, CA32AC4E, 478
210679054, 42429E9A, 476
213434312, 92165D1A, 896
220396440, F866730C, 878
237803786, 6A778723, 656
245676331, B07957B1, 545
249320151, 95AEA81E, 787
249558673, 1FF5F3B7, 569
253465066, 74FFFA2D, 876
253725106, 5B0E7282, 474
267865764, 184B8FE7, 474
269592912, FDE5AC91, 896
270064859, 629C1920, 785
275411344, 2CFBD07B, 456
278960966, 18A986F5, 478
290500605, 8AA9B6D7, 545
291412511, EF1591F5, 565
293756916, 4A110A8D, 654
302730164, 53BCEB9C, 698
304231056, 5E8F9B8B, 654
306722212, 70CB4E29, 476
313275400, 01066B08, 478
313914558, FC9A82F4, 698
322543254, ABD5C97D, 898
349921335, C119F3D1, 565
351102976, 0EF204B2, 876
359534823, 52096C37, 987
362546996, 32C1CCCF, 458
366098953, C0589AC0, 745
374259564, 4920D8AE, 474
376023611, 3697E0AB, 769
384621894, 071E9236, 654
385391510, 4F404D0C, 474
385416528, 0AD6E00E, 458
392084453, 10775963, 747
399278778, 84849EFC, 876
411530358, BC54BB1E, 654
413361164, 4B09D68D, 478
420696441, C3E981A7, 547
431669339, 1EC020F2, 747
433016222, C565E39D, 854
443367984, 975C8F48, 676
447731047, 709FD939, 547
450168827, 0D0BF98D, 549
465140633, 3042F6A2, 749
467948710, E873B383, 676
473595502, F81D3EC9, 476
476120904, A5BF4E77, 454
478333306, 71ADD0D3, 654
488741545, 2355873B, 549
489246737, C6C817A6, 565
506056744, 021965B1, 474
506126295, DC46994E, 585
506445168, 31D9CC2D, 876
514682696, 89DE088C, 896
520643688, CF566E20, 694
529010010, 7B6833F4, 854
529240145, 9AB39AA7, 749
541807535, 6068058E, 947
545513160, 29EA7D84, 678
547324974, 2C2C97BA, 476
549172968, D58C2688, 658
557264186, A846A888, 458
559029931, 2D8B96E3, 985
567340854, 6685E0D9, 698
572742616, 12C269F6, 458
578527070, 56E41502, 854
580247478, 35E3E757, 678
593711799, DCF65010, 585
598366892, 529D5467, 474
603403856, 2B70A548, 678
607788346, B69B2E95, 456
612714251, E4AD05AF, 769
624161693, B42C5F22, 567
626150805, 53F28AB8, 749
647779499, AEA10F57, 969
654729499, F0569334, 547
663708977, 80716DA5, 987
687268970, 387AEA98, 858
687746128, AB866D5E, 698
708342378, 82A2E15E, 696
711339113, F1DC8340, 965
714175526, 766B4B21, 478
715993527, 02F83126, 967
719628450, 484847A4, 474
723696114, C113DAE5, 494
724309504, 8AD4D38E, 456
733437430, A3FED2A2, 658
774760342, E168414C, 658
776161658, C98B75D7, 476
779046738, 4A4B1185, 458
781905463, FD3C5AA8, 945
789101859, 558085A4, 969
793227620, C4729D36, 478
808893994, F8F953A7, 454
810254540, F96026DE, 856
810519772, D7B8089E, 858
838242860, 9E0C5F28, 858
857575988, CE167F70, 456
866616530, 8A9FADC3, 894
877396336, 38CBFBBD, 456
883008976, C926761C, 858
897621292, AF30DE5A, 696
903448518, E7D2684C, 654
911635369, 9F2E909C, 789
914341766, E75E07AC, 854
915160542, 5676529E, 674
922032342, CF03863F, 458
945885424, 7A086E82, 474
957734441, 3B681BF8, 967
964949154, ECD76BB3, 694
985364586, 11B3A737, 696
998473538, 6EF6355C, 696
1003267968, E043DD25, 874
1004910518, ABC13993, 698
1006732778, A7608ED8, 494
1010740798, 27848D4A, 878
1014363756, 912A9B3C, 896
1016846635, 55A148D5, 969
1025327972, C3085608, 696
1028016729, 98238EA9, 765
1044800953, BC09F161, 985
1060205934, 83325F38, 896
1065660684, 84B44962, 678
1081047146, A249EB99, 856
1089528206, C7D62D3A, 476
1093302836, 9F130D5B, 678
1095242023, 3C1FA367, 789
1095694612, B18FDB9D, 458
1103291254, F416DB5E, 658
1106143517, 9C0D787B, 945
1108650386, AE36C97A, 676
1122474643, 1FF3EDD9, 565
1134441702, 7744299E, 656
1148011180, 884127AD, 698
1148917473, 721074C0, 967
1152660009, 216123C9, 789
1155567285, 223845A4, 947
1167061739, AEB7A6E3, 585
1170300650, 1E0A3B18, 876
1197547924, B64B3271, 456
1226631269, 5331F2F1, 767
1241100296, 34149C4C, 856
1246300234, 37DDDA19, 474
1250344940, 73A97203, 654
1252247115, C38C4552, 949
1254201337, 9C2E447C, 789
1256061706, 5242ED92, 656
1260300424, D2F9CDCB, 478
1271838326, 5E5BBC11, 894
1294931530, 475E0B06, 856
1295284257, D00FF57B, 745
1297595082, 04098F23, 896
1310374062, 7C24743C, 474
1334362928, FD147EAE, 878
1341478262, 17F7AE69, 456
1346997370, 80F96239, 678
1349845926, 73E292AE, 474
1352050389, 7695EBCB, 949
1357547752, 12A47C7C, 696
1361534028, 1805CFF9, 856
1373935075, 5BD10EF7, 545
1378407207, AB11F3DD, 789
1385204001, E01BA00F, 747
1388137546, A8ACCC7C, 656
1400953326, A62E04A4, 654
1413319798, D26FC715, 876
1434067038, F787E82F, 898
1440614772, 50D049BC, 854
1474348720, 2578D614, 696
1474538998, 2222ED20, 494
1475700812, 67E6BCA2, 496
1483331058, 80417CB5, 494
1492930470, 37AEA2BA, 454
1493785655, 4FEFA78D, 565
1499128560, 459EDB3E, 898
1504857626, 2AD96CD5, 856
1514332800, A8C6E918, 674
1535389924, 356E4FD0, 694
1545755662, 38A05344, 696
1554580716, 4ACE4E32, 496
1557690723, BC76F17E, 747
1560565273, B0B0D542, 985
1561866933, 7B5F1BD3, 549
1564844027, 24EBC3E3, 947
1584282137, CE65A70F, 549
1588291274, F572D39A, 676
1595054066, 502455B6, 694
1597870506, 81E339BB, 694
1599993100, A0602540, 478
1600463824, B8B1BDA5, 498
1602326630, 3183E1B9, 496
1603952290, 021FD42F, 478
1607264910, 36FDDBAB, 454
1613970973, CA56DDC8, 745
1615330032, 1B5CA4CE, 858
1616012156, EB3B878B, 476
1626372634, 44E814A8, 676
1640236478, 75A728F5, 476
1642562152, C9B8FE5C, 454
1654634771, FD5A6E2A, 967
1665925906, C9B701C5, 476
1681213914, 9D7017A8, 678
1683743786, 36B6BB18, 456
1685991111, 5EE8D0F6, 565
1687115528, 10B8C3BE, 674
1688872045, 7B3D2705, 549
1698840532, E443FF03, 876
1699518994, ED8E3758, 676
1704348918, 5CCCFE04, 896
1708057041, 420AA1A8, 769
1723798999, 4C1600B6, 749
1730750224, 905E5CEA, 856
1730964476, 69CCA8A4, 676
1761032982, 29C24FF8, 494
1763649480, 4125846B, 696
1765891306, 77939D31, 476
1779826683, A05AE91C, 547
1794312878, ADF1B6AF, 896
1794848383, 60F67716, 785
1799768584, 43BD6EE3, 476
1800330762, D4086572, 656
1802782465, 058B4D25, 985
1815125785, 6868D7D0, 985
1838161580, 6DB9B451, 476
1839243641, C91AC074, 765
1848831303, 56344C1A, 547
1853168292, 3C8EAAA0, 494
1861899511, B4CB38CD, 569
1869811326, FC526ADA, 694
1882359345, 939D09CD, 949
1886585696, 166A8538, 498
1898466074, 8703302D, 698
1905959635, 04A16B59, 789
1921695733, 378D0A11, 965
1925571592, CC454315, 656
1932468558, 75D5C2BD, 678
1937676217, 77915233, 587
1951125302, 5FA2765E, 896
1954405903, 703C5B1C, 585
1958312690, 72181FC6, 654
1962386260, A42543DF, 694
1981097790, 60451DDF, 498
1983685818, 98824E4A, 656
1983750632, 350ABC70, 896
2008301889, 95804A74, 989
2014250352, 1B51ED0B, 856
2021773915, A517CF29, 769
2032842984, DC563900, 494
2036727426, DED08C2E, 494
2041658558, 4DE069CA, 694
2044585065, E2C7E419, 969
2047013776, 294469CE, 874
2052847818, E62E1FAC, 458
2069400338, CFCC5568, 696
2069919292, 1B42942E, 498
2073637809, B04FAA1B, 565
2080405260, 3EF8CC9C, 656
2084695595, 91BA05B8, 567
2095435826, A4C2C202, 854
2104011897, EBAEC09E, 785
2106822057, 57A2169A, 785
2119145227, 530D4431, 765
2128416424, 28F528A7, 458
2136853680, 18917621, 898
2138202341, 306B97CF, 545
2141963230, CF626A3E, 678
